EXP_ID,Torque,RPM,Power,Frecuencia,Caudal
82_50_HZ,-0.0077773649245500565,0,0.0,50,11.820928809292552
83_50_HZ,-0.0077773649245500565,0,0.0,50,11.820928809292552
84_50_HZ,-0.00671278266236186,0,0.0,50,11.820928809292552
85_50_HZ,-0.00671278266236186,0,0.0,50,11.820928809292552
86_50_HZ,-0.006949356757104397,0,0.0,50,11.820928809292552
87_50_HZ,-0.006949356757104397,0,0.0,50,11.820928809292552
88_50_HZ,-0.008427943103015423,0,0.0,50,11.820928809292552
89_50_HZ,-0.008427943103015423,0,0.0,50,11.820928809292552
90_50_HZ,-0.009403809905052185,0,0.0,50,11.820928809292552
91_50_HZ,-0.009403809905052185,0,0.0,50,11.820928809292552
92_50_HZ,-0.00653535220772028,0,0.0,50,11.820928809292552
93_50_HZ,-0.00653535220772028,0,0.0,50,11.820928809292552
94_50_HZ,-0.006919784937053919,0,0.0,50,11.820928809292552
95_50_HZ,-0.006919784937053919,0,0.0,50,11.820928809292552
96_50_HZ,-0.009226379916071892,0,0.0,50,11.820928809292552
97_50_HZ,-0.009226379916071892,0,0.0,50,11.820928809292552
98_50_HZ,-0.009403809905052185,5,0.00492382353721245,50,11.850828850175423
99_50_HZ,-0.009403809905052185,90,0.088628823669824,50,12.324821104481753
100_50_HZ,-0.009522097185254097,235,0.23433064595023,50,12.983829264124827
101_50_HZ,-0.009522097185254097,380,0.378917640259947,50,13.454253118991458
102_50_HZ,-0.024189675226807594,491,1.24377021247731,50,13.686931651301315
103_50_HZ,-0.024189675226807594,563,1.42615606848213,50,13.778767023102539
104_50_HZ,-0.046959906816482544,652,3.20629479161313,50,13.828023570523367
105_50_HZ,-0.046959906816482544,745,3.66363438612236,50,13.803584788515794
106_50_HZ,-0.045303892344236374,824,3.9092309880652802,50,13.721885996630258
107_50_HZ,-0.045303892344236374,890,4.22234900409964,50,13.61071212313425
108_50_HZ,-0.04009926691651344,947,3.9766285323821897,50,13.483255646464743
109_50_HZ,-0.04009926691651344,993,4.1697910587703495,50,13.35914722429582
110_50_HZ,-0.03516078740358353,1024,3.7703977447820702,50,13.264803809338797
111_50_HZ,-0.03516078740358353,1053,3.8771765871636,50,13.168743577840981
112_50_HZ,-0.02797485701739788,1077,3.15509322031485,50,13.083540836062156
113_50_HZ,-0.02797485701739788,1095,3.20782458332847,50,13.0162482985292
114_50_HZ,-0.0233912393450737,1119,2.74101824130146,50,12.922004273553481
115_50_HZ,-0.0233912393450737,1139,2.79000873712454,50,12.839520994202058
116_50_HZ,-0.023657383397221565,1156,2.86386918692708,50,12.766589290517809
117_50_HZ,-0.023657383397221565,1188,2.94314584262057,50,12.622273974429612
118_50_HZ,-0.03255847468972206,1204,4.10505671460564,50,12.546672018024793
119_50_HZ,-0.03255847468972206,1223,4.16983750993579,50,12.453912327072874
